"Protein.ID"	"Description"	"Peptides"	"Frames"	"Hits"	"Ratio.AS.0.C.0"	"StDev"	"pValue"	"Fraction.1D_2D"	"Gene_name"	"UniprotID"
"1198"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	5.058	0.466	8.66e-08	"A_33_00"	"Trf"	"F7BAE9"
"1199"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	25	3.253	0.047	9.9e-20	"A_34_01"	"Trf"	"F7BAE9"
"1200"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	3	0.28	0.051	0.134	"A_36_00"	"Trf"	"F7BAE9"
"1201"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	5	5	34	2.09	0.023	9.9e-20	"A_36_01"	"Trf"	"F7BAE9"
"1202"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	6	4.048	0.414	2.66e-08	"A_38_00"	"Trf"	"F7BAE9"
"1203"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	0	0	0	"A_38_01"	"Trf"	"F7BAE9"
"1204"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	6.161	0.596	0.000444	"A_40_01"	"Trf"	"F7BAE9"
"1205"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.695	0.048	9.87e-07	"A_31_02"	"Trf"	"F7BAE9"
"1206"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	8.411	13.285	0.00898	"A_31_04"	"Trf"	"F7BAE9"
"1207"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	10	0.637	0.055	6.11e-06	"A_33_02"	"Trf"	"F7BAE9"
"1208"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	7	0	0	0	"A_33_04"	"Trf"	"F7BAE9"
"1209"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	8	2.026	0.344	1.61e-05	"A_34_03"	"Trf"	"F7BAE9"
"1210"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	9	0.632	0.069	8.76e-07	"A_34_05"	"Trf"	"F7BAE9"
"1211"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.137	0.003	0.00057	"A_34_10"	"Trf"	"F7BAE9"
"1212"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.576	0.069	0.00138	"A_35_02"	"Trf"	"F7BAE9"
"1213"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.218	0.012	2.32e-05	"A_35_04"	"Trf"	"F7BAE9"
"1214"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.765	0.089	0.000165	"A_37_02"	"Trf"	"F7BAE9"
"1215"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	5	0.879	0.048	0.000509	"A_39_02"	"Trf"	"F7BAE9"
"1216"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	0.437	0.046	7.85e-07	"A_41_02"	"Trf"	"F7BAE9"
"1217"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	12	0.285	0.025	2.98e-09	"A_19_21"	"Trf"	"F7BAE9"
"1218"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	3.158	0.532	0.000414	"A_20_20"	"Trf"	"F7BAE9"
"1219"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	1.722	0.183	1.39e-07	"A_22_20"	"Trf"	"F7BAE9"
"1220"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	6	0.906	0.129	2.89e-08	"A_27_19"	"Trf"	"F7BAE9"
"1221"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	4	19	7.657	0.047	9.9e-20	"A_29_19"	"Trf"	"F7BAE9"
"1222"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.518	0.069	2.84e-07	"A_31_19"	"Trf"	"F7BAE9"
"1223"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	5	33.607	0.797	8.66e-07	"A_32_20"	"Trf"	"F7BAE9"
"1224"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	4	99999.9	70710.607	2.22e-16	"A_36_20"	"Trf"	"F7BAE9"
"1225"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	5	99999.9	70710.607	9.9e-20	"A_23_25"	"Trf"	"F7BAE9"
"1226"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	4	4	31	0.282	0.002	9.9e-20	"A_25_25"	"Trf"	"F7BAE9"
"1227"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.006	0.004	0.0109	"B_30_01"	"Trf"	"F7BAE9"
"1228"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	16	0.025	0.005	2.22e-15	"B_31_02"	"Trf"	"F7BAE9"
"1229"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	4	2.419	0.117	3.01e-10	"B_31_04"	"Trf"	"F7BAE9"
"1230"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	5	5	28	1.588	0.034	9.9e-20	"B_32_01"	"Trf"	"F7BAE9"
"1231"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	4	0	0	0	"B_32_03"	"Trf"	"F7BAE9"
"1232"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	9	1.244	0.046	5.4e-11	"B_33_02"	"Trf"	"F7BAE9"
"1233"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	6	0.542	0.026	0.000197	"B_33_04"	"Trf"	"F7BAE9"
"1234"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	0.225	0.034	1.15e-07	"B_34_01"	"Trf"	"F7BAE9"
"1235"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	6	0.212	0.042	9.67e-06	"B_34_03"	"Trf"	"F7BAE9"
"1236"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	11	0.895	0.034	9.54e-13	"B_35_02"	"Trf"	"F7BAE9"
"1237"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.162	0.029	0.00939	"B_36_01"	"Trf"	"F7BAE9"
"1238"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.718	0.014	1.21e-05	"B_37_02"	"Trf"	"F7BAE9"
"1239"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	5	0.485	0.096	3.38e-05	"B_40_01"	"Trf"	"F7BAE9"
"1240"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	4	0.071	0.016	0.0538	"B_33_14"	"Trf"	"F7BAE9"
"1241"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.24	0.038	0.000144	"B_35_10"	"Trf"	"F7BAE9"
"1242"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	99999.9	99999.9	2.4e-09	"B_21_18"	"Trf"	"F7BAE9"
"1243"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	14	0.333	0.029	4.76e-13	"B_23_18"	"Trf"	"F7BAE9"
"1244"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	99999.9	99999.9	2.4e-09	"B_40_17"	"Trf"	"F7BAE9"
"1245"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	2.247	0.507	0.00737	"B_22_21"	"Trf"	"F7BAE9"
"1246"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	3.863	1.634	0.00168	"B_23_22"	"Trf"	"F7BAE9"
"1247"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	1.49	0.126	4.55e-07	"B_24_21"	"Trf"	"F7BAE9"
"1248"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	1.77	0.156	0.0298	"B_40_21"	"Trf"	"F7BAE9"
"1249"	"SP://F7BAE9"	"F7BAE9_MOUSE Protein Trf (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	1	10.975	16.204	0.0307	"B_10_30"	"Trf"	"F7BAE9"
"1250"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	3	7.784	0.432	0.00068	"C_17_02"	"Trf"	"F7BAE9"
"1251"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	1.197	0.067	0.000209	"C_18_01"	"Trf"	"F7BAE9"
"1252"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	5	1.859	0.071	1.83e-05	"C_30_02"	"Trf"	"F7BAE9"
"1253"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	22	1.279	0.045	9.99e-16	"C_31_01"	"Trf"	"F7BAE9"
"1254"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	19	1.738	0.06	9.1e-15	"C_32_02"	"Trf"	"F7BAE9"
"1255"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	9	0.354	0.018	4.93e-14	"C_33_01"	"Trf"	"F7BAE9"
"1256"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	23	0.148	0.007	9.9e-20	"C_34_02"	"Trf"	"F7BAE9"
"1257"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	24	0.567	0.013	9.9e-20	"C_35_01"	"Trf"	"F7BAE9"
"1258"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.034	0.001	5.25e-07	"C_36_00"	"Trf"	"F7BAE9"
"1259"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	6	27	0.06	0.002	9.9e-20	"C_36_02"	"Trf"	"F7BAE9"
"1260"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.079	0.025	0.0157	"C_37_01"	"Trf"	"F7BAE9"
"1261"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	0.197	0.023	4.93e-08	"C_38_02"	"Trf"	"F7BAE9"
"1262"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.519	0.029	0.0272	"C_40_02"	"Trf"	"F7BAE9"
"1263"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	9	1.239	0.069	5.54e-09	"C_32_04"	"Trf"	"F7BAE9"
"1264"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.496	0.019	2.73e-09	"C_34_04"	"Trf"	"F7BAE9"
"1265"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	4	0.278	0.081	6.36e-05	"C_34_11"	"Trf"	"F7BAE9"
"1266"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	2.666	0.171	0.00246	"C_34_15"	"Trf"	"F7BAE9"
"1267"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.046	0.022	0.019	"C_37_03"	"Trf"	"F7BAE9"
"1268"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	0.239	0.02	0.00135	"C_39_03"	"Trf"	"F7BAE9"
"1269"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	5	9	43	0.018	0.001	9.9e-20	"C_12_25"	"Trf"	"F7BAE9"
"1270"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	3	11	0.154	0.006	9.9e-20	"C_21_22"	"Trf"	"F7BAE9"
"1271"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	3	1	0.079	1	"C_23_22"	"Trf"	"F7BAE9"
"1272"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	4	5	25	3.503	0.127	9.9e-20	"C_31_18"	"Trf"	"F7BAE9"
"1273"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	16	0.64	0.012	3.22e-15	"C_33_18"	"Trf"	"F7BAE9"
"1274"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	1.664	0.053	0.0105	"C_37_20"	"Trf"	"F7BAE9"
"1275"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.372	0.039	2.42e-05	"C_20_23"	"Trf"	"F7BAE9"
"1276"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	4	5	23	1.038	0.02	9.9e-20	"C_22_23"	"Trf"	"F7BAE9"
"1277"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	4	6	27	0.079	0.002	9.9e-20	"C_24_23"	"Trf"	"F7BAE9"
"1278"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	2	2	3	0.551	0.056	0.00142	"C_25_24"	"Trf"	"F7BAE9"
"1279"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	6	0.079	0.013	1.21e-08	"C_26_23"	"Trf"	"F7BAE9"
"1280"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	1	0.037	0.018	0.00829	"C_27_24"	"Trf"	"F7BAE9"
"1281"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	2	8.387	0.311	6.22e-05	"C_30_22"	"Trf"	"F7BAE9"
"1282"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	5	3.88	0.426	2.53e-06	"C_32_22"	"Trf"	"F7BAE9"
"1283"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	1.58	0.053	1.56e-09	"C_13_32"	"Trf"	"F7BAE9"
"1284"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	1	1	6	0.554	0.056	2.78e-05	"C_24_29"	"Trf"	"F7BAE9"
"1285"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	12	0.319	0.013	1.11e-16	"C_12_31"	"Trf"	"F7BAE9"
"1286"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	12	0.5	0.011	3.1e-09	"C_18_31"	"Trf"	"F7BAE9"
"1287"	"SP://F7BAE9"	"F7BAE9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1"	3	3	11	1.915	0.087	3.56e-13	"C_20_31"	"Trf"	"F7BAE9"
"1288"	"SP://F7CH13"	"F7CH13_MOUSE Surfeit locus protein 4 (Fragment) OS=Mus musculus GN=Surf4 PE=4 SV=1"	1	1	1	0.01	0.002	0.000444	"A_32_16"	"Surf4"	"F7CH13"
"1289"	"SP://F7CH13"	"F7CH13_MOUSE Surfeit locus protein 4 (Fragment) OS=Mus musculus GN=Surf4 PE=4 SV=1"	1	1	1	0.273	0.003	6.37e-05	"C_34_15"	"Surf4"	"F7CH13"
"1290"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	10	14	35	0.01	0	9.9e-20	"A_17_02"	"Trf"	"F7CJN9"
"1291"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	3	5	5.919	0.208	9.68e-05	"A_18_01"	"Trf"	"F7CJN9"
"1292"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	5	11	20.406	0.689	1.11e-13	"A_20_01"	"Trf"	"F7CJN9"
"1293"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	4	3.413	0.237	1.15e-07	"A_22_01"	"Trf"	"F7CJN9"
"1294"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	8	0.498	0.046	2.55e-07	"A_24_01"	"Trf"	"F7CJN9"
"1295"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	5	23	1.986	0.051	9.9e-20	"A_30_01"	"Trf"	"F7CJN9"
"1296"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	6	7	45	1.339	0.02	9.9e-20	"A_32_01"	"Trf"	"F7CJN9"
"1297"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	5	10	0.001	0.002	1.7e-07	"A_33_00"	"Trf"	"F7CJN9"
"1298"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	8	11	116	1.337	0.003	9.9e-20	"A_34_01"	"Trf"	"F7CJN9"
"1299"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	7	14	0.101	0.012	8.27e-06	"A_36_00"	"Trf"	"F7CJN9"
"1300"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	8	10	57	2.53	0.033	9.9e-20	"A_36_01"	"Trf"	"F7CJN9"
"1301"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	4	10	8.527	0.283	3.65e-14	"A_38_00"	"Trf"	"F7CJN9"
"1302"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	8	0	0	0	"A_38_01"	"Trf"	"F7CJN9"
"1303"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	2	2.086	0.133	0.0155	"A_23_02"	"Trf"	"F7CJN9"
"1304"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	2	18.411	6.03	0.00441	"A_25_02"	"Trf"	"F7CJN9"
"1305"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	4	0.66	0.089	0.000636	"A_31_02"	"Trf"	"F7CJN9"
"1306"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	6	2.258	0.196	2.81e-07	"A_32_03"	"Trf"	"F7CJN9"
"1307"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	12	17	62	0.069	0.002	9.9e-20	"A_33_02"	"Trf"	"F7CJN9"
"1308"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	3	7	0.06	0.014	0.0868	"A_33_04"	"Trf"	"F7CJN9"
"1309"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	7	8	26	1.714	0.085	9.9e-20	"A_34_03"	"Trf"	"F7CJN9"
"1310"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	4	12	0.436	0.015	3.67e-11	"A_34_05"	"Trf"	"F7CJN9"
"1311"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	15	1.433	0.029	3.8e-12	"A_35_02"	"Trf"	"F7CJN9"
"1312"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	8	0.311	0.029	8.64e-11	"A_35_04"	"Trf"	"F7CJN9"
"1313"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	4	4	25	1.012	0.022	9.9e-20	"A_37_02"	"Trf"	"F7CJN9"
"1314"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	6	7	35	0.479	0.01	9.9e-20	"A_19_21"	"Trf"	"F7CJN9"
"1315"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	2	2	9	0.612	0.01	3.23e-09	"A_21_21"	"Trf"	"F7CJN9"
"1316"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	3	3	9	2.337	0.042	3.51e-07	"A_22_20"	"Trf"	"F7CJN9"
"1317"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	2	0.475	0.08	0.00116	"A_24_20"	"Trf"	"F7CJN9"
"1318"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	5	1.452	0.224	0.000329	"A_25_19"	"Trf"	"F7CJN9"
"1319"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	1	1	1	0.402	0.122	0.0499	"A_26_20"	"Trf"	"F7CJN9"
"1320"	"SP://F7CJN9"	"F7CJN9_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1"	5	6	24	0.43	0.002	9.9e-20	"A_27_19"	"Trf"	"F7CJN9"
